id,partnerid,sessionid,males,females,ageyo,sex,impfa,impba,impku,impam,impin,impcr,impco,imphp,impha,gfattrac,gbattrac,goattrac,gintelligent,gconfident,gkindunder,gambitious,gfunny,gcreative,gpercfunny,prefa,preba,preku,pream,prein,preco,precr,prehp,preha
14000092,14001094,1409,2,2,18.33333333,M,6,5,6,2,6,NA,NA,NA,NA,3,4,3,5,5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000101,14001101,1410,4,3,18.66666667,M,6,5,6,6,6,NA,NA,NA,NA,2,2,3,6,6,6,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000101,14001102,1410,4,3,18.66666667,M,6,5,6,6,6,NA,NA,NA,NA,1,1,2,4,3,6,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000101,14001103,1410,4,3,18.66666667,M,6,5,6,6,6,NA,NA,NA,NA,2,2,3,5,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000102,14001101,1410,4,3,22.5,M,6,6,6,2,6,NA,NA,NA,NA,5,5,5,5,5,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000102,14001102,1410,4,3,22.5,M,6,6,6,2,6,NA,NA,NA,NA,4,4,5,3,3,6,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000102,14001103,1410,4,3,22.5,M,6,6,6,2,6,NA,NA,NA,NA,5,5,5,5,6,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000103,14001101,1410,4,3,18.41666667,M,5,5,6,5,3,NA,NA,NA,NA,4,4,5,5,6,5,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000103,14001102,1410,4,3,18.41666667,M,5,5,6,5,3,NA,NA,NA,NA,3,4,4,5,6,6,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000103,14001103,1410,4,3,18.41666667,M,5,5,6,5,3,NA,NA,NA,NA,5,5,5,6,5,6,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
